,AverageTradePrice,BuyQuantity,Close,Exchange,ExchangeType,High,LastQuantity,LastTradeTime,LastTradedPrice,Low,NetChange,Open,OpenInterest,Scripcode,SellQuantity,TotalBuyQuantity,TotalSellQuantity,Volume,Name,FullName
52,789.2,9,784.85,N,C,793.3,6,/Date(1695635982000)/,789.45,782.65,4.60000000000002,784.85,0,527,0,9,0,42235,UTIAMC,UTI ASSET MNGMT CO LTD
53,4553.08,27,4564.65,N,C,4585,10,/Date(1695636979000)/,4570.05,4510.55,5.40000000000055,4574.05,0,547,0,27,0,498354,BRITANNIA,BRITANNIA INDUSTRIES LTD
54,755.31,0,761.5,N,C,776.65,15,/Date(1695636983000)/,771.75,737.05,10.25,763,0,583,756,0,756,1024817,CANFINHOME,CAN FIN HOMES LTD
55,495.12,0,494,N,C,499,1,/Date(1695637758000)/,493.25,490.1,-0.75,495,0,592,18,0,18,404173,GRAPHITE,GRAPHITE INDIA LTD
56,1195.89,5,1191.25,N,C,1210.95,17,/Date(1695636951000)/,1188.7,1182,-2.54999999999995,1191.25,0,595,0,5,0,96947,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD
57,1084.85,0,1086.5,N,C,1099.1,100,/Date(1695636000000)/,1085.75,1063.25,-0.75,1086,0,625,1835,0,1835,222355,CENTURYTEX,CENTURY TEXTILES LTD
58,91.85,0,90.8,N,C,92.7,1000,/Date(1695637676000)/,91.0,90.45,0.200000000000003,91.05,0,628,1146,0,1146,5877377,CESC,CESC LTD
59,611.53,42,612.15,N,C,617.6,11,/Date(1695636853000)/,612.2,606.15,0.0500000000000682,613,0,634,0,42,0,30091,IGARASHI,IGARASHI MOTORS INDIA LTD
60,282.8,0,279.5,N,C,286.65,100,/Date(1695637781000)/,281.05,280.5,1.55000000000001,283.25,0,637,1400,0,1400,3095986,CHAMBLFERT,CHAMBAL FERTILIZERS LTD
61,256.27,0,256.2,N,C,259.35,29,/Date(1695637747000)/,258.9,253.6,2.69999999999999,256.2,0,676,59,0,59,1618125,EXIDEIND,EXIDE INDUSTRIES LTD
62,1187.68,0,1188.2,N,C,1196.9,1,/Date(1695637763000)/,1183.1,1170.2,-5.10000000000014,1185.2,0,685,98,0,98,2145513,CHOLAFIN,CHOLAMANDALAM IN & FIN CO
63,1183.38,0,1185.9,N,C,1197.15,1,/Date(1695637770000)/,1179.35,1177,-6.55000000000018,1186,0,694,0,0,0,1267600,CIPLA,CIPLA LTD
64,120.84,3493,117.85,N,C,122.6,2,/Date(1695637650000)/,120.55,117.75,2.7,119.05,0,701,0,3493,0,1711719,HEMIPROP,HEMISPHERE PROP IND LTD
65,232.86,152,227.8,N,C,238.05,250,/Date(1695637731000)/,233.8,225.8,6,228.6,0,714,0,152,0,420377,SHALBY,SHALBY LIMITED
66,261.44,13,257,N,C,264.8,15,/Date(1695637454000)/,263.5,255.1,6.5,257,0,724,0,13,0,976732,TATACOFFEE,TATA COFFEE LIMITED
67,1111.95,0,1101.95,N,C,1119.65,1,/Date(1695637621000)/,1114.75,1098.45,12.8,1107,0,739,24,0,24,299533,COROMANDEL,COROMANDEL INTERNTL. LTD
68,671.42,0,681.75,N,C,685.2,4,/Date(1695637531000)/,666.2,665,-15.55,681.75,0,742,16,0,16,79244,COSMOFIRST,COSMO FIRST LIMITED
69,3881.85,0,3854.5,N,C,3899.8,10,/Date(1695635996000)/,3888.1,3831.65,33.5999999999999,3855,0,757,0,0,0,7691,CRISIL,CRISIL LTD
70,435.67,0,440.5,N,C,441.95,100,/Date(1695637431000)/,434.45,431.55,-6.05000000000001,441.7,0,760,1825,0,1825,1065899,CGPOWER,CG POWER AND IND SOL LTD
71,557.76,0,561.3,N,C,563,100,/Date(1695637755000)/,554.3,552.8,-7,561.3,0,772,236,0,236,1426546,DABUR,DABUR INDIA LTD
72,452.83,509,427.95,N,C,463.2,250,/Date(1695637797000)/,458.9,424.1,30.95,427.95,0,781,0,509,0,569456,DALMIASUG,DALMIA BHARAT SUG IN LTD
73,1057.09,0,1048.6,N,C,1073.95,1,/Date(1695637062000)/,1062.25,1032.45,13.6500000000001,1039.1,0,811,345,0,345,128585,DCMSHRIRAM,DCM SHRIRAM LIMITED
